№,Описание,ОР
1,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время 06",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
2,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время 07",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 43
,,clientDeliveryCost = 0
3,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время 08",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 43
,,clientDeliveryCost = 0
4,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время 21",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,hostDeliveryCost = 43
,,clientDeliveryCost = 0
5,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время 22",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
6,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время 23",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
7,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время отрицательное число  -1",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
8,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время указано ввиде букв ""авб""",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
9,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время указано ввиде спецсимволов ""$&^""",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
10,"Доставка курьерской службой «Привезём быстро» и её стоимость, если кол-во продуктов 8 шт, вес 5 кг, время -пустое поле",Код и статус ответа 400 Bad Request
,,возможность доставки и стоимость не определена
Работа с корзиной,,
Добавление продуктов в корзину — ручка PUT /api/v1/orders/:id,,
id в url,,
1,"Продукты в корзину добавляются, если ввести существующие значение из БД
валидное id корзины = 4, id товара = 1, quantity=1",Код и статус ответа 200 ОК
,,Структура ответа соответствует документации
,,Продукты в корзину добавлены
2,"Продукты в корзину не добавляются, если ввести не  валидный ID корзины = 25,id товара = 1, quantity=1",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
3,"Продукты в корзину не добавляются, если ввести не  существующий ID корзины =1.5, id товара = 1, quantity=1",Код и статус ответа 404 Not Found
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
id товара,,
1,"Продукты в корзину добавляются, если ввести из БД
валидноe id корзины = 4, id товара = -1, quantity=1",Код и статус ответа 409 Conflict
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
2,"Продукты в корзину добавляются, если ввести из БД
валидноe id корзины = 4, id товара = абв, quantity=1",Код и статус ответа 409 Conflict
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
3,"Продукты в корзину добавляются, если ввести из БД
валидноe id корзины = 4, id товара = $#, quantity=1",Код и статус ответа 409 Conflict
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
4,"Продукты в корзину добавляются, если ввести из БД
валидноe id корзины = 4, id товара = пустое поле, quantity=1",Код и статус ответа 409 Conflict
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
quantity,,
1,"Продукты в корзину добавляются, если ввести существующие значение из БД
валидное id корзины = 4, id товара = 1, quantity=11111",Код и статус ответа 409 Conflict
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
2,"Продукты в корзину добавляются, если ввести существующие значение из БД
валидное id корзины = 4, id товара = 1, и отрицательное quantity=-1",Код и статус ответа 409 Conflict
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
3,"Продукты в корзину добавляются, если ввести существующие значение из БД
валидное id корзины = 4, id товара = 1, quantity=абв",Код и статус ответа 409 Conflict
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
4,"Продукты в корзину добавляются, если ввести существующие значение из БД
валидное id корзины = 4, id товара = 1, quantity=пустое поле",Код и статус ответа 409 Conflict
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
body,,
1,"Продукты в корзину не добавляются, если JSON пустой, валидное id корзины = 4",Код и статус ответа 400 Bad Request
,,Структура ответа соответствует документации
,,Продукты в корзину не добавлены
